2020-09-29 22:23:28,993 - INFO - #####################################
2020-09-29 22:23:29,015 - INFO - ############Start Training###########
2020-09-29 22:23:29,015 - INFO - #####################################
2020-09-29 22:25:35,671 - INFO - Env 30, Goal (-07.2, -06.5), Episode 00001, setp 078, Reward -29.9, Crashed,
2020-09-29 22:25:35,691 - INFO - Env 31, Goal (-10.2, -04.3), Episode 00001, setp 201, Reward -30.0, Time out,
2020-09-29 22:25:42,468 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00009, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:42,468 - INFO - Env 16, Goal (005.5, -02.5), Episode 00009, setp 045, Reward -22.1, Crashed,
2020-09-29 22:25:42,482 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00009, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:42,501 - INFO - Env 15, Goal (003.5, -02.5), Episode 00009, setp 041, Reward -19.7, Crashed,
2020-09-29 22:25:43,354 - INFO - Env 11, Goal (012.0, 010.0), Episode 00007, setp 025, Reward -26.1, Crashed,
2020-09-29 22:25:43,354 - INFO - Env 10, Goal (010.0, 010.0), Episode 00007, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:43,354 - INFO - Env 12, Goal (014.0, 010.0), Episode 00007, setp 021, Reward -26.3, Crashed,
2020-09-29 22:25:43,354 - INFO - Env 13, Goal (016.0, 010.0), Episode 00007, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:43,359 - INFO - Env 14, Goal (018.0, 010.0), Episode 00007, setp 031, Reward -23.4, Crashed,
2020-09-29 22:25:44,095 - INFO - Env 08, Goal (003.0, 003.0), Episode 00006, setp 001, Reward -47.5, Crashed,
2020-09-29 22:25:44,100 - INFO - Env 09, Goal (005.0, 003.0), Episode 00006, setp 001, Reward -47.5, Crashed,
2020-09-29 22:25:44,111 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00006, setp 025, Reward -42.7, Crashed,
